platform,domain,owner_name,link,pixelId,facebook_url,like_num,share_num,comment_num
MERCHIZE,wearkeyhot.com,Unicorn,https://rebrand.ly/dmtumbler,2369467493160662.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTEyOTkxMjg3MDU1MzA2MiIsImFub255bW91cyI6dHJ1ZX0:1jARdm:gyo0I_LmmaGuGQlK_yMIywpMcRg,70,11,0
MERCHIZE,wearkeyhot.com,Native American Pride,https://rebrand.ly/tblnativeblood,2369467493160662.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA1ODk0MDEwODY3NjgzIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:bBcJWGFsnkHbf1fR3Hz2-R1Qujc,78,13,2
WOOCOMMERCE,www.shopnowhereland.com,Land store,http://bit.ly/2wcKt9U,510602216320090.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAzOTk5MTI0NTM3NDk1IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:VGVipgRid2aelS5qhMFJpNJsBKY,0,0,1
SHOPIFY,joyfulmoose.com,Joyful Moose,https://tinyurl.com/y4rwveru,1730599707199159.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjQzNjI5NDA1Nzg4ODU0IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:LMLGsmrpuz-ZYEl2W-UxXwgTkLw,2,0,0
WOOCOMMERCE,wickedkreations.com.au,Wicked Kreations,https://wickedkreations.com.au/product/shuh-duh-fuh-cup-12oz-wine-tumbler/,114787232459404.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTE1MTE2Njg2MTYwNzkzNSIsImFub255bW91cyI6dHJ1ZX0:1jARdm:PktvqG0dCvwe0LLI9lF6nPuLe7g,11,1,0
WOOCOMMERCE,societily.com,R.Stones 4U,https://rebrand.ly/48a18,1082610825414627.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA2NDU5MTUwOTYwMDkxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:8rwcAJFlfYXS6F7AKqJu17hKOs8,3,1,3
SHOPIFY,accessory-alliance.com,Accessory Alliance Greek Paraphernalia,https://accessory-alliance.com/products/yeti-aka-water-cup,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vODU5NTg5Mjc0MDcwMDc0IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:vv3E4GrmWKvIW_gGDmDg1AeObdE,1,0,0
SHOPIFY,vibesontop.com,Be Hippie,https://rebrand.ly/sunflower-turtle,1205331846305859.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA4NTI3NjM3MzMyMzMzIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:h7by9m24YWqQ3ElIgoanVB8WvnQ,80,34,12
SHOPIFY,joyfulmoose.com,Joyful Moose,https://tinyurl.com/y5q34vfh,1730599707199159.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjQzNjI5NDA1Nzg4ODU0IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:LMLGsmrpuz-ZYEl2W-UxXwgTkLw,2,0,0
WOOCOMMERCE,societily.com,Doors Fans,https://rebrand.ly/df462,1082610825414627.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAwMjM5NjA4MjU4NTYxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:lHwl6_jCnU9mNeMagJU4OQYoZ4M,33,7,4
SHOPIFY,presstostore.com,Veterans Forever,http://smarturl.it/f83por,208858813620012.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAxNDE0NTg4MDYzODczIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARdm:MWsOMNQE5xRA0caW5aWrlFR2xqc,4,0,1
